name	doi	citation	img_path	research_snippet
rgbif	10.3897/bdj.3.e4162	Collins, R., Duarte Ribeiro, E., Nogueira Machado, V., Hrbek, T., & Farias, I. (2015). A preliminary inventory of the catfishes of the lower Rio Nhamundá, Brazil (Ostariophysi, Siluriformes). Biodiversity Data Journal, 3, e4162. <https://doi.org/10.3897/bdj.3.e4162>	NA	NA
helminthR	10.1038/srep13185	Dallas, T., & Cornelius, E. (2015). Co-extinction in a host-parasite network: identifying key hosts for network stability. Scientific Reports, 5, 13185. <https://doi.org/10.1038/srep13185>	NA	NA
taxize	10.1111/ddi.12351	Dodd, A. J., Burgman, M. A., McCarthy, M. A., & Ainsworth, N. (2015). The changing patterns of plant naturalization in Australia. Diversity Distrib., 21(9), 1038–1050. <https://doi.org/10.1111/ddi.12351>	NA	NA
rgbif	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rdryad	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rfisheries	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
RMendeley	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
treeBASE	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rfishbase	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
taxize	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rsnsps	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rvertnet	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rentrez	10.2478/cszma-2013-0004	Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea A, 62(1). <https://doi.org/10.2478/cszma-2013-0004>	NA	NA
rfishbase	10.1016/j.aquaculture.2016.04.018	Froehlich, H. E., Gentry, R. R., & Halpern, B. S. (2016). Synthesis and comparative analysis of physiological tolerance and life-history growth traits of marine aquaculture species. Aquaculture, 460, 75–82. <https://doi.org/10.1016/j.aquaculture.2016.04.018>	NA	NA
taxize	10.12688/f1000research.2-191.v1	Chamberlain, S. A., & Szöcs, E. (2013). taxize: taxonomic search and retrieval in R. F1000Research, 2, 191. <https://doi.org/10.12688/f1000research.2-191.v1>	NA	NA
rplos	10.7717/peerj.1935	Hartgerink, C. H. J., van Aert, R. C. M., Nuijten, M. B., Wicherts, J. M., & van Assen, M. A. L. M. (2016). Distributions ofp-values smaller than .05 in psychology: what is going on? PeerJ, 4, e1935. <https://doi.org/10.7717/peerj.1935>	NA	NA
taxize	10.1111/mec.13026	Hodgins, K. A., Bock, D. G., Hahn, M. A., Heredia, S. M., Turner, K. G., & Rieseberg, L. H. (2015). Comparative genomics in the Asteraceae reveals little evidence for parallel evolutionary change in invasive taxa. Mol Ecol, 24(9), 2226–2240. <https://doi.org/10.1111/mec.13026>	NA	NA
ropensci	10.1890/es14-00198.1	Jørgensen, P. S., Barraquand, F., Bonhomme, V., Curran, T. J., Cieraad, E., Ezard, T. G., … Zimmerman, N. (2015). Connecting people and ideas from around the world: global innovation platforms for next-generation ecology and beyond. Ecosphere, 6(4), art68. <https://doi.org/10.1890/es14-00198.1>	NA	NA
rgbif	10.1371/journal.pone.0128295	Kong, X., Huang, M., & Duan, R. (2015). SDMdata: A Web-Based Software Tool for Collecting Species Occurrence Records. PLoS ONE, 10(6), e0128295. <https://doi.org/10.1371/journal.pone.0128295>	NA	NA
taxize	10.1186/s40709-015-0032-5	Lapatas, V., Stefanidakis, M., Jimenez, R. C., Via, A., & Schneider, M. V. (2015). Data integration in biological research: an overview. J of Biol Res-Thessaloniki, 22(1). <https://doi.org/10.1186/s40709-015-0032-5>	NA	NA
rfishbase	10.1126/science.aab0800	McGee, M. D., Borstein, S. R., Neches, R. Y., Buescher, H. H., Seehausen, O., & Wainwright, P. C. (2015). A pharyngeal jaw evolutionary innovation facilitated extinction in Lake Victoria cichlids. Science, 350(6264), 1077–1079. <https://doi.org/10.1126/science.aab0800>	NA	NA
ropensci	10.1080/07317131.2015.1059681	Mitchell, E. T. (2015). Reproducibility and Its Application to Technical Service Processes. Technical Services Quarterly, 32(4), 402–413. <https://doi.org/10.1080/07317131.2015.1059681>	NA	NA
taxize	10.1111/2041-210x.12600	Niedballa, J., Sollmann, R., Courtiol, A., & Wilting, A. (2016). camtrapR: an R package for efficient camera trap data management. Methods in Ecology and Evolution. <https://doi.org/10.1111/2041-210x.12600>	NA	NA
taxize	10.1002/pca.2520	Ningthoujam, S. S., Choudhury, M. D., Potsangbam, K. S., Chetia, P., Nahar, L., Sarker, S. D., … Talukdar, A. D. (2014). NoSQL Data Model for Semi-automatic Integration of Ethnomedicinal Plant Data from Multiple Sources. Phytochemical Analysis, 25(6), 495–507. <https://doi.org/10.1002/pca.2520>	NA	NA
taxize	10.3897/zookeys.552.6934	Pérez-Luque, A. J., Barea-Azcón, J. M., Álvarez-Ruiz, L., Bonet-García, F. J., & Zamora, R. (2016). Dataset of Passerine bird communities in a Mediterranean high mountain (Sierra Nevada, Spain). ZK, 552, 137–154. <https://doi.org/10.3897/zookeys.552.6934>	NA	NA
rbrefdata	10.1002/ece3.1547	Pfaff, C.-T., König-Ries, B., Lang, A. C., Ratcliffe, S., Wirth, C., Man, X., & Nadrowski, K. (2015). rBEFdata: documenting data exchange and analysis for a collaborative data management platform. Ecology and Evolution, 5(14), 2890–2897. <https://doi.org/10.1002/ece3.1547>	NA	NA
AntWeb	10.1111/een.12306	PIE, M. R. (2016). The macroevolution of climatic niches and its role in ant diversification. Ecological Entomology, 41(3), 301–307. <https://doi.org/10.1111/een.12306>	NA	NA
rfishbase	10.1007/s11538-016-0143-7	Plank, M. J., Pitchford, J. W., & James, A. (2016). Evolutionarily Stable Strategies for Fecundity and Swimming Speed of Fish. Bull Math Biol, 78(2), 280–292. <https://doi.org/10.1007/s11538-016-0143-7>	NA	NA
taxize	10.4033/iee.2015.8.8.f	Poisot, T. (2015). Best publishing practices to improve user confidence in scientific software. IEE, 8. <https://doi.org/10.4033/iee.2015.8.8.f>	NA	NA
ropensci	10.1002/ece3.508	Poisot, T., Péquin, B., & Gravel, D. (2013). High-Throughput Sequencing: A Roadmap Toward Community Ecology. Ecology and Evolution, 3(4), 1125–1139. <https://doi.org/10.1002/ece3.508>	NA	NA
taxize	10.1002/ece3.1246	Pos, E., Guevara Andino, J. E., Sabatier, D., Molino, J.-F., Pitman, N., Mogollón, H., … ter Steege, H. (2014). Are all species necessary to reveal ecologically important patterns? Ecology and Evolution, 4(24), 4626–4636. <https://doi.org/10.1002/ece3.1246>	NA	NA
rfishbase	10.1098/rspb.2015.1428	Price, S. A., Friedman, S. T., & Wainwright, P. C. (2015). How predation shaped fish: the impact of fin spines on body form evolution across teleosts. Proc. R. Soc. B, 282(1819), 20151428. <https://doi.org/10.1098/rspb.2015.1428>	NA	NA
rgbif	10.2989/20702620.2014.999305	Richardson, D. M., Le Roux, J. J., & Wilson, J. R. (2015). Australian acacias as invasive species: lessons to be learnt from regions with long planting histories. Southern Forests: a Journal of Forest Science, 77(1), 31–39. <https://doi.org/10.2989/20702620.2014.999305>	NA	NA
rfishbase	10.1111/ecog.01348	Sagouis, A., Cucherousset, J., Villéger, S., Santoul, F., & Boulêtreau, S. (2015). Non-native species modify the isotopic structure of freshwater fish communities across the globe. Ecography, 38(10), 979–985. <https://doi.org/10.1111/ecog.01348>	NA	NA
rgbif	10.1002/ece3.1599	Turner, K. G., Fréville, H., & Rieseberg, L. H. (2015). Adaptive plasticity and niche expansion in an invasive thistle. Ecology and Evolution, 5(15), 3183–3197. <https://doi.org/10.1002/ece3.1599>	NA	NA
ropensci	10.3390/jmse3041448	Vandepitte, L., Vanhoorne, B., Decock, W., Dekeyzer, S., Trias Verbeeck, A., Bovit, L., … Mees, J. (2015). How Aphia—The Platform behind Several Online and Taxonomically Oriented Databases—Can Serve Both the Taxonomic Community and the Field of Biodiversity Informatics. Journal of Marine Science and Engineering, 3(4), 1448–1473. <https://doi.org/10.3390/jmse3041448>	NA	NA
paleobioDB	10.1111/ecog.01154	Varela, S., González-Hernández, J., Sgarbi, L. F., Marshall, C., Uhen, M. D., Peters, S., & McClennen, M. (2014). paleobioDB: an R package for downloading, visualizing and processing data from the Paleobiology Database. Ecography, 38(4), 419–425. <https://doi.org/10.1111/ecog.01154>	NA	NA
rgbif	10.1111/nph.13623	Verheijen, L. M., Aerts, R., Bönisch, G., Kattge, J., & Van Bodegom, P. M. (2015). Variation in trait trade-offs allows differentiation among predefined plant functional types: implications for predictive ecology. New Phytol, 209(2), 563–575. <https://doi.org/10.1111/nph.13623>	NA	NA
rplos	10.4033/iee.2015.8.9.c	White, E. (2015). Some thoughts on best publishing practices for scientific software. IEE, 8. <https://doi.org/10.4033/iee.2015.8.9.c>	NA	NA
rgbif	10.1101/032755	Zizka, A., & Antonelli, A. (2015). speciesgeocodeR: An R package for linking species occurrences, user-defined regions and phylogenetic trees for biogeography, ecology and evolution. <https://doi.org/10.1101/032755>	NA	NA
plotly	10.1161/circinterventions.115.002569	Rothman, A. M. K., Arnold, N. D., Chang, W., Watson, O., Swift, A. J., Condliffe, R., … Lawrie, A. (2015). Pulmonary Artery Denervation Reduces Pulmonary Artery Pressure and Induces Histological Changes in an Acute Porcine Model of Pulmonary Hypertension. Circulation: Cardiovascular Interventions, 8(11), e002569–e002569. <https://doi.org/10.1161/circinterventions.115.002569>	NA	NA
taxize	10.1890/15-1397.1	Bachelot, B., Uriarte, M., Zimmerman, J. K., Thompson, J., Leff, J. W., Asiaii, A., … McGuire, K. (2016). Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests. Ecol Appl. <https://doi.org/10.1890/15-1397.1>	NA	NA
rfishbase	10.1111/zsc.12098	Boeger, W. A., Marteleto, F. M., Zagonel, L., & Braga, M. P. (2014). Tracking the history of an invasion: the freshwater croakers (Teleostei: Sciaenidae) in South America. Zool Scr, 44(3), 250–262. <https://doi.org/10.1111/zsc.12098>	NA	NA
rgbif	10.1111/rec.12381	Butterfield, B. J., Copeland, S. M., Munson, S. M., Roybal, C. M., & Wood, T. E. (2016). Prestoration: using species in restoration that will persist now and into the future. Restoration Ecology. <https://doi.org/10.1111/rec.12381>	NA	NA
ropensci	10.1071/mf15108	Dafforn, K. A., Johnston, E. L., Ferguson, A., Humphrey, C. L., Monk, W., Nichols, S. J., … Baird, D. J. (2016). Big data opportunities and challenges for assessing multiple stressors across scales in aquatic ecosystems. Marine and Freshwater Research, 67(4), 393. <https://doi.org/10.1071/mf15108>	NA	NA
rgbif	10.1111/nph.13694	Dellinger, A. S., Essl, F., Hojsgaard, D., Kirchheimer, B., Klatt, S., Dawson, W., … Dullinger, S. (2015). Niche dynamics of alien species do not differ among sexual and apomictic flowering plants. New Phytol, 209(3), 1313–1323. <https://doi.org/10.1111/nph.13694>	NA	NA
rgbif	10.1590/0102-33062014abb3711	Feitosa, Y. O., Absy, M. L., Latrubesse, E. M., & Stevaux, J. C. (2015). Late Quaternary vegetation dynamics from central parts of the Madeira River in Brazil. Acta Botanica Brasilica, 29(1), 120–128. <https://doi.org/10.1590/0102-33062014abb3711>	NA	NA
rgbif	10.1111/jvs.12301	Malhado, A. C. M., Oliveira-Neto, J. A., Stropp, J., Strona, G., Dias, L. C. P., Pinto, L. B., & Ladle, R. J. (2015). Climatological correlates of seed size in Amazonian forest trees. Journal of Vegetation Science, 26(5), 956–963. <https://doi.org/10.1111/jvs.12301>	NA	NA
ropensci	10.1007/s10816-015-9272-9	Marwick, B. (2016). Computational Reproducibility in Archaeological Research: Basic Principles and a Case Study of Their Implementation. Journal of Archaeological Method and Theory. <https://doi.org/10.1007/s10816-015-9272-9>	NA	NA
rfishbase	10.1111/1365-2656.12471	Mindel, B. L., Webb, T. J., Neat, F. C., & Blanchard, J. L. (2016). A trait-based metric sheds new light on the nature of the body size-depth relationship in the deep sea. J Anim Ecol, 85(2), 427–436. <https://doi.org/10.1111/1365-2656.12471>	NA	NA
rfishbase	10.1371/journal.pone.0073535	Miya, M., Friedman, M., Satoh, T. P., Takeshima, H., Sado, T., Iwasaki, W., … Nishida, M. (2013). Evolutionary Origin of the Scombridae (Tunas and Mackerels): Members of a Paleogene Adaptive Radiation with 14 Other Pelagic Fish Families. PLoS ONE, 8(9), e73535. <https://doi.org/10.1371/journal.pone.0073535>	NA	NA
ropensci	10.1109/mcse.2014.93	Pawlik, A., Segal, J., Sharp, H., & Petre, M. (2015). Crowdsourcing Scientific Software Documentation: A Case Study of the NumPy Documentation Project. Computing in Science & Engineering, 17(1), 28–36. <https://doi.org/10.1109/mcse.2014.93>	NA	NA
taxize	10.3897/phytokeys.46.9116	Pérez-Luque, A. J., Sánchez-Rojas, C. P., Zamora, R., Pérez-Pérez, R., & Bonet, F. J. (2015). Dataset of Phenology of Mediterranean high-mountain meadows flora (Sierra Nevada, Spain). PhytoKeys, 46, 89–107. <https://doi.org/10.3897/phytokeys.46.9116>	NA	NA
taxize	10.1111/ecog.01941	Poisot, T., Gravel, D., Leroux, S., Wood, S. A., Fortin, M.-J., Baiser, B., … Stouffer, D. B. (2015). Synthetic datasets and community tools for the rapid testing of ecological hypotheses. Ecography, 39(4), 402–408. <https://doi.org/10.1111/ecog.01941>	NA	NA
rfishbase	10.1007/s00338-015-1326-7	Price, S. A., Claverie, T., Near, T. J., & Wainwright, P. C. (2015). Phylogenetic insights into the history and diversification of fishes on reefs. Coral Reefs, 34(4), 997–1009. <https://doi.org/10.1007/s00338-015-1326-7>	NA	NA
ropensci	10.1111/ecog.01880	Read, J. S., Walker, J. I., Appling, A. P., Blodgett, D. L., Read, E. K., & Winslow, L. A. (2015). geoknife: reproducible web-processing of large gridded datasets. Ecography, 39(4), 354–360. <https://doi.org/10.1111/ecog.01880>	NA	NA
paleobioDB	10.1111/ecog.01880	Read, J. S., Walker, J. I., Appling, A. P., Blodgett, D. L., Read, E. K., & Winslow, L. A. (2015). geoknife: reproducible web-processing of large gridded datasets. Ecography, 39(4), 354–360. <https://doi.org/10.1111/ecog.01880>	NA	NA
chromer	10.1016/bs.abr.2016.02.001	Sessa, E. B., & Der, J. P. (2016). Evolutionary Genomics of Ferns and Lycophytes. Genomes and Evolution of Charophytes, Bryophytes, Lycophytes and Ferns, 215–254. <https://doi.org/10.1016/bs.abr.2016.02.001>	NA	NA
taxize	10.5194/bg-13-2537-2016	Wagner, F. H., Hérault, B., Bonal, D., Stahl, C., Anderson, L. O., Baker, T. R., … Botosso, P. C. (2016). Climate seasonality limits leaf carbon assimilation and wood productivity in tropical forests. Biogeosciences, 13(8), 2537–2562. <https://doi.org/10.5194/bg-13-2537-2016>	NA	NA
rgbif	10.1073/pnas.1424030112	Werner, G. D. A., Cornwell, W. K., Cornelissen, J. H. C., & Kiers, E. T. (2015). Evolutionary signals of symbiotic persistence in the legume–rhizobia mutualism. Proc Natl Acad Sci USA, 112(33), 10262–10269. <https://doi.org/10.1073/pnas.1424030112>	NA	NA
rgbif	10.1111/ecog.02118	Robertson, M. P., Visser, V., & Hui, C. (2016). Biogeo: an R package for assessing and improving data quality of occurrence record datasets. Ecography, 39(4), 394–401. <https://doi.org/10.1111/ecog.02118>	NA	NA
rfishbase	10.1111/jzs.12103	Collins, R. A., Britz, R., & Rüber, L. (2015). Phylogenetic systematics of leaffishes - Teleostei: Polycentridae, Nandidae. Journal of Zoological Systematics and Evolutionary Research. 53(4), 259–272. <https://doi.org/10.1111/jzs.12103>	NA	NA
rgbif	10.1126/science.aab1161	Davison, J., Moora, M., Opik, M., Adholeya, A., Ainsaar, L., Ba, A., … Zobel, M. (2015). Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism. Science, 349(6251), 970–973. <https://doi.org/10.1126/science.aab1161>	NA	NA
ritis	10.1111/1365-2745.12135	Goring, S., Lacourse, T., Pellatt, M. G., & Mathewes, R. W. (2013). Pollen assemblage richness does not reflect regional plant species richness: a cautionary tale. Journal of Ecology, 101(5), 1137–1145. <https://doi.org/10.1111/1365-2745.12135>	NA	NA
ropensci	10.3201/eid2108.141156	Olson, S. H., Benedum, C. M., Mekaru, S. R., Preston, N. D., Mazet, J. A. K., Joly, D. O., & Brownstein, J. S. (2015). Drivers of Emerging Infectious Disease Events as a Framework for Digital Detection. Emerging Infectious Diseases, 21(8), 1285–1292. <https://doi.org/10.3201/eid2108.141156>	NA	NA
rfishbase	10.1080/00028487.2015.1111253	Schaefer, J., Frazier, N., & Barr, J. (2015). Dynamics of Near-Coastal Fish Assemblages following the Deepwater Horizon Oil Spill in the Northern Gulf of Mexico. Transactions of the American Fisheries Society, 145(1), 108–119. <https://doi.org/10.1080/00028487.2015.1111253>	NA	NA
taxize	10.7717/peerj-cs.56	Schwery, O., & O’Meara, B. C. (2016).  MonoPhy : a simple R package to find and visualize monophyly issues . PeerJ Computer Science, 2, e56. <https://doi.org/10.7717/peerj-cs.56>	NA	NA
monkeylearn	NA	Maëlle Salmon. Analyzing #first7jobs tweets with MonkeyLearn and R <https://blog.monkeylearn.com/analyzing-first7jobs-tweets-monkeylearn-r/>	NA	NA
ropenaq	NA	Christa Hasenkopf. Open Air Quality Fun with Fireworks <https://medium.com/@openaq/open-air-quality-fun-with-fireworks-13f9bd47ba36#.j64syt9tm>	NA	NA
ropenaq	NA	Maëlle Salmon. Personalizing the Data Points: Following the Open Data Trail to Coyhaique <https://medium.com/@openaq/personalizing-the-data-points-following-the-open-data-trail-to-coyhaique-40604278bf71#.qkm2slfv4>	NA	NA
riem	NA	Kan Nishida. riem Package — Getting World Weather Data in Super Easy Way <https://blog.exploratory.io/riem-package-getting-world-weather-data-in-super-easy-way-78aa94ed45f5#.q58jjkuo4>	NA	NA
gutenbergr	NA	Julia Silge and David Robinson. Tidy Text Mining with R <http://tidytextmining.com/tidytext.html#the-gutenbergr-package>	NA	NA
ropensci	10.1093/sysbio/syw066	Antonelli, A., Hettling, H., Condamine, F. L., Vos, K., Nilsson, R. H., Sanderson, M. J., … Vos, R. A. (2016). Towards a Self-Updating Platform for Estimating Rates of Speciation and Migration, Ages, and Relationships of Taxa (SUPERSMART). Systematic Biology, syw066. <https://doi.org/10.1093/sysbio/syw066>	NA	NA
rgbif	NA	Arnaud, E., Castañeda-Álvarez, N. P., Cossi, J. G., Endresen, D. T. F., Jahanshiri, E., & Vigouroux, Y. (2016). Final Report of the Task Group on GBIF Data Fitness for Use in Agrobiodiversity. <https://www.duo.uio.no/handle/10852/50041>	NA	NA
rgbif	NA	Bach, R. (2016). Observing the Change in Southeastern Species’ Habitat Areas Due to Climate Change. Chicago. <https://smartech.gatech.edu/handle/1853/55385>	NA	NA
ropensci	NA	Boehmke, B. (2016). Data Wrangling with R. <http://link.springer.com/book/10.1007/978-3-319-45599-0>	NA	NA
taxize	10.1111/jbi.12894	Bradie, J., & Leung, B. (2016). A quantitative synthesis of the importance of variables used in MaxEnt species distribution models. Journal of Biogeography. <https://doi.org/10.1111/jbi.12894>	NA	NA
taxize	10.1111/nph.14077	Bufford, J. L., Hulme, P. E., Sikes, B. A., Cooper, J. A., Johnston, P. R., & Duncan, R. P. (2016). Taxonomic similarity, more than contact opportunity, explains novel plant-pathogen associations between native and alien taxa. New Phytol. <https://doi.org/10.1111/nph.14077>	NA	NA
pdftools	10.1101/073460	Cole, C. B., Patel, S., French, L., & Knight, J. (2016). Semi-Automated Identification of Ontological Labels in the Biomedical Literature with goldi. <https://doi.org/10.1101/073460>	NA	NA
taxize	NA	Costello, M. J., Basher, Z., McLeod, L., Asaad, I., Claus, S., Vandepitte, L., et al. (2017). Methods for the Study of Marine Biodiversity. In The GEO Handbook on Biodiversity Observation Networks (pp. 129-163). Springer International Publishing. <http://link.springer.com/chapter/10.1007/978-3-319-27288-7_6>	NA	NA
taxize	10.1111/jbi.12911	Cramer, M. D., & Verboom, G. A. (2016). Measures of biologically relevant environmental heterogeneity improve prediction of regional plant species richness. Journal of Biogeography. <https://doi.org/10.1111/jbi.12911>	NA	NA
rgbif	10.1371/journal.pone.0166407	Curtis, C. A., & Bradley, B. A. (2016). Plant Distribution Data Show Broader Climatic Limits than Expert-Based Climatic Tolerance Estimates. PLOS ONE, 11(11), e0166407. <https://doi.org/10.1371/journal.pone.0166407>	NA	NA
rplos	NA	Dennis, T. (2016). Using R and ggvis to Create Interactive Graphics for Exploratory Data Analysis. Data Visualization: A Guide to Visual Storytelling for Libraries, 149. <https://books.google.com/books?id=wxrMDAAAQBAJ&dq=A+Guide+to+Visual+Storytelling+for+Libraries&source=gbs_navlinks_s>	NA	NA
plotly	10.1016/j.bbr.2016.09.044	Doyle, J. M., Merovitch, N., Wyeth, R. C., Stoyek, M. R., Schmidt, M., Wilfart, F., … Croll, R. P. (2017). A simple automated system for appetitive conditioning of zebrafish in their home tanks. Behavioural Brain Research, 317, 444–452. <https://doi.org/10.1016/j.bbr.2016.09.044>	NA	NA
rgbif	10.1111/geb.12512	Dullinger, I., Wessely, J., Bossdorf, O., Dawson, W., Essl, F., Gattringer, A., … Dullinger, S. (2016). Climate change will increase the naturalization risk from garden plants in Europe. Global Ecol. Biogeogr. <https://doi.org/10.1111/geb.12512>	NA	NA
testdat	NA	Döhmen, T. R. (2016). Multi-Hypothesis Parsing of Tabular Data in Comma-Separated Values (CSV) Files (Doctoral dissertation, Vrije Universiteit Amsterdam). <http://homepages.cwi.nl/~boncz/msc/2016-Doehmen.pdf>	NA	NA
rAltmetric	NA	Erdt, M., Aw, A. S., Aung, H. H., Mohammadi, E., & Theng, Y. L. (2016, October). Investigating Singapore's altmetric landscape. In Proceedings of the 79th ASIS&T Annual Meeting: Creating Knowledge, Enhancing Lives through Information & Technology (p. 29). American Society for Information Science. <http://dl.acm.org/citation.cfm?id=3017476>	NA	NA
taxize	NA	Eriksson, Björn. 2016. Diversity of ecosystems: Variation in network structure among food webs. <http://www.diva-portal.org/smash/get/diva2:951404/FULLTEXT01.pdf>	NA	NA
taxize	10.1101/071019	Foster, Z. S. L., Sharpton, T., & Grunwald, N. J. (2016). MetacodeR: An R package for manipulation and heat tree visualization of community taxonomic data from metabarcoding. <https://doi.org/10.1101/071019>	NA	NA
rgbif	10.1111/1365-2664.12767	Groom, Q., Weatherdon, L., & Geijzendorffer, I. R. (2016). Is citizen science an open science in the case of biodiversity observations? Journal of Applied Ecology. <https://doi.org/10.1111/1365-2664.12767>	NA	NA
taxize	10.1017/s1479262116000344	Halse-Gramkow, M., Ernst, M., Rønsted, N., Dunn, R. R., & Saslis-Lagoudakis, C. H. (2016). Using evolutionary tools to search for novel psychoactive plants. Plant Genetic Resources, 1–10. <https://doi.org/10.1017/s1479262116000344>	NA	NA
geonames	10.1371/journal.pone.0159184	Harsch, M. A., & HilleRisLambers, J. (2016). Climate Warming and Seasonal Precipitation Change Interact to Limit Species Distribution Shifts across Western North America. PLOS ONE, 11(7), e0159184. <https://doi.org/10.1371/journal.pone.0159184>	NA	NA
plotly	10.1016/j.nlm.2016.09.018	Hertler, B., Buitrago, M. M., Luft, A. R., & Hosp, J. A. (2016). Temporal course of gene expression during motor memory formation in primary motor cortex of rats. Neurobiology of Learning and Memory, 136, 105–115. <https://doi.org/10.1016/j.nlm.2016.09.018>	NA	NA
rcrossref	10.7717/peerj.2323	Jahn, N., & Tullney, M. (2016). A study of institutional spending on open access publication fees in Germany. PeerJ, 4, e2323. <https://doi.org/10.7717/peerj.2323>	NA	NA
